ax_lin,ay_lin,az_lin
-0.305800,-8.761200,10.138800
5.441300,-3.794000,-11.952700
5.194800,-10.104400,6.318300
-0.352700,-10.053900,0.162300
-3.067600,-9.214900,9.603100
-4.088900,-5.060400,7.448500
-4.159000,-8.504800,11.866900
-5.894500,-4.349200,11.807600
-5.369300,13.240400,5.245800
-3.638600,1.494900,-13.604100
-0.770300,3.491500,-19.253000
4.595400,-1.587500,-19.168600
5.959400,-7.346500,-3.304200
6.032000,-5.639300,9.609400
1.948300,-9.886300,8.741600
1.945700,-7.320300,11.907200
0.577700,1.976800,11.847700
1.034700,-2.985100,11.788500
0.417100,4.770000,-4.989300
3.281800,-3.506400,11.754500
3.089000,-3.655600,-20.801300
3.481100,-4.054400,-16.245800
1.731200,-5.287600,1.434300
-2.783800,-4.057700,10.127600
-4.283100,-9.716200,8.103800
-5.172000,-7.370400,11.782600
-4.455100,-8.134200,11.723700
2.258800,-0.217600,11.646600
1.902000,6.193900,-11.729700
3.277000,1.585100,-18.627200
5.634100,-5.879400,-21.724900
5.100800,-8.783500,-9.562900
6.710000,-8.310700,6.577600
3.440300,-5.099700,10.081200
2.617600,-5.672300,9.037000
3.553000,-8.913500,11.786600
-0.289600,1.189900,11.727600
2.907600,-0.965500,11.669000
1.937400,12.177000,-7.829600
1.115100,6.294300,-17.051000
3.509300,13.652700,-20.678500
1.663900,-0.072800,-18.976100
3.156900,-5.181700,-3.417600
1.177500,-1.426300,8.814900
-1.828600,-7.114700,9.192700
-3.785500,-6.571500,9.866400
-3.766600,-6.538600,9.817000
-1.333700,1.217500,11.762000
1.811400,8.651300,7.342800
1.092200,13.166800,-12.361200
3.090900,8.032200,-17.670800
4.924700,2.813700,-20.816200
1.401700,-1.261100,-15.526600
4.271100,-8.289500,1.427700
0.872900,-6.515600,10.214000
0.789900,-7.924800,8.864200
3.988800,-7.182100,11.895800
1.326100,-7.687200,11.836300
2.101100,3.337100,11.777100
1.120700,2.688900,6.438000
-0.996300,8.895200,-12.763400
0.686300,5.309500,-17.985200
3.192200,3.345600,-21.393500
4.055600,-4.108700,-17.056700
2.977300,-4.686300,-1.164700
1.546900,-5.952000,9.774600
-2.678900,-8.896300,8.715300
-2.965700,-9.416600,10.366100
-2.131100,-5.337400,11.893600
2.588400,-5.365600,3.563200
-0.014900,-6.804300,10.677800
-1.656700,-7.973700,7.953000
-1.689000,-4.824000,11.723200
-4.549700,-4.768900,11.664500
1.106600,4.343900,11.606200
3.391100,3.504800,0.896600
0.381100,9.835700,-15.207800
3.891800,6.779100,-19.252000
7.022700,7.372000,-21.383900
6.432300,-0.805400,-12.972100
5.065700,-7.271300,3.576300
4.120500,-1.866000,11.510700
2.317400,-4.196800,9.127200
3.514000,-6.492100,11.766700
2.009400,-6.397700,10.874400
1.210600,0.616600,11.653500
2.703400,6.840400,11.595200
1.431700,5.679000,-8.220000
1.117100,7.242500,-17.513300
3.130000,5.492900,-21.295800
2.690100,-1.647900,-20.557800
2.841100,-5.266700,-7.805800
3.358300,-3.748600,6.483900
0.296000,-4.130200,10.841000
-1.790600,-7.024000,8.251200
0.324900,-7.689500,11.786300
-1.618900,-6.154500,11.727400
-0.054700,-1.438700,11.668800
3.396300,0.668000,5.424600
2.559500,12.260500,-13.554800
4.260100,8.977400,-18.741700
5.268300,6.566100,-21.593400
