Time,X,Y,Z
2.068,0.096374,-0.016701,0.684787
2.072,0.058624,-0.007371,0.730269
2.076,0.08514,-0.040653,0.766226
2.08,0.080617,-0.042658,0.723162
2.084,0.073777,0.006962,0.720694
2.088,0.071801,0.0017,0.725433
2.092,0.116893,-0.019849,0.679924
2.096,0.069217,-0.020068,0.758938
2.1,0.102484,-0.050591,0.701524
2.104,0.085907,-0.012486,0.691921
2.108,0.100075,-0.00788,0.715849
2.112,0.081156,-0.052819,0.720706
2.116,0.114266,-0.024077,0.720703
2.12,0.113961,-0.002556,0.648845
2.124,0.099438,0.029746,0.687022
2.128,0.15027,-0.013858,1.010275
2.132,0.053733,-0.024854,0.459549
2.136,0.005603,0.067206,0.773165
2.14,0.143054,-0.03349,0.696497
2.144,0.116091,-0.04763,0.789923
2.148,0.155793,0.049181,0.679583
2.152,0.002131,-0.048715,0.722748
2.156,0.208098,-0.055014,0.741986
2.16,0.064837,-0.080674,0.698957
2.164,0.084598,0.040624,0.701263
2.168,0.067966,0.018008,0.715512
2.172,0.10371,-0.0273,0.674818
2.176,0.073176,0.003361,0.768175
2.18,0.099462,-0.032455,0.746632
2.184,0.05468,-0.018194,0.727467
2.188,0.055604,-0.013421,0.720289
2.192,0.119909,0.007519,0.701056
2.196,0.062971,0.016528,0.72734
2.2,0.103414,-0.063831,0.634055
2.204,0.0704,-0.037191,0.7275
2.208,0.061181,0.01215,0.744159
2.212,0.056964,-0.037868,0.777727
2.216,0.071899,-0.040045,0.722672
2.22,0.074572,-0.018574,0.727456
2.224,0.053965,0.002675,0.638814
2.228,0.040671,-0.018964,0.725038
2.232,0.095746,0.025703,0.667461
2.236,0.079168,-0.008259,0.729685
2.24,0.103046,-0.013093,0.650643
2.244,0.095929,0.005531,0.715248
2.248,0.107717,-0.001939,0.722399
2.2520000000000002,0.12862,-0.063351,0.729674
2.2560000000000002,0.123162,-0.039023,0.703366
2.2600000000000002,0.122602,-0.071818,0.75374
2.2640000000000002,0.086904,-0.026016,0.662765
2.2680000000000002,0.096471,0.002176,0.739343
2.2720000000000002,0.129447,-0.026309,0.648355
2.2760000000000002,0.13118,-0.01927,0.701023
2.2800000000000002,0.09986,-0.009805,0.705797
2.2840000000000003,0.111465,-0.002816,0.66266
2.2880000000000003,0.115804,-0.010205,0.722508
2.2920000000000003,0.082293,-0.0597,0.705835
2.2960000000000003,0.113384,-0.007119,0.708216
2.3000000000000003,0.075289,-0.005092,0.727337
2.3040000000000003,0.09927,-0.04771,0.710627
2.308,0.061605,-0.04719,0.734645
2.312,0.085779,-0.00884,0.705911
2.316,0.074149,-0.002305,0.806431
2.32,0.088574,-0.014371,0.722595
2.324,0.102729,-0.016739,0.645956
2.328,0.083872,-0.005049,0.657899
2.332,0.062823,-0.04091,0.722578
2.336,0.115253,-0.028628,0.66992
2.34,0.077273,0.011533,0.732131
2.344,0.084691,-0.005366,0.696193
2.348,0.127163,-0.022133,0.708161
2.352,0.112578,-0.03142,0.679452
2.356,0.105184,0.013603,0.705741
2.36,0.086175,-0.031935,0.746454
2.364,0.0982,-0.059913,0.686666
2.368,0.062861,-0.017127,0.760881
2.372,0.08934,-0.014788,0.686631
2.376,0.06605,0.003858,0.696158
2.38,0.118252,-0.034316,0.770416
2.384,0.101349,-0.006044,0.691325
2.388,0.145885,-0.029694,0.691349
2.392,0.109645,-0.02715,0.703337
2.396,0.0927,-0.031657,0.734503
2.4,0.118531,0.008566,0.698516
2.404,0.122562,-0.015617,0.667347
2.408,0.112576,-0.027135,0.614704
2.412,0.081691,-0.022478,0.734443
2.416,0.126662,-0.024857,0.636243
2.42,0.048557,-0.041314,0.744064
2.424,0.089336,-0.0315,0.693796
2.428,0.080192,-0.033622,0.696227
2.432,0.073448,-0.019499,0.736918
2.436,0.118247,-0.007795,0.712931
2.44,0.092059,-0.015313,0.710499
2.444,0.061442,-0.02963,0.732065
2.448,0.092736,-0.039145,0.729679
2.452,0.095228,-0.045975,0.693795
2.456,0.090488,-0.019826,0.710538
2.46,0.114098,-0.006094,0.755967
2.464,0.095211,-0.013756,0.7631
2.468,0.078834,-0.023354,0.688858
2.472,0.116834,-0.023754,0.748684
2.476,0.060197,-0.023781,0.66726
2.48,0.04913,-0.047652,0.767869
2.484,0.115809,0.006552,0.734233
2.488,0.089619,-0.010634,0.679102
2.492,0.089811,-0.013311,0.683861
2.496,0.049952,-0.025674,0.849083
2.5,0.116661,0.01173,0.717249
2.504,0.102102,-0.038589,0.755565
2.508,0.102101,-0.029025,0.664552
2.512,0.130349,-0.033587,0.690917
2.516,0.047564,-0.010165,0.76751
2.52,0.126102,-0.045849,0.738792
2.524,0.080701,0.006152,0.666864
2.528,0.06678,0.000903,0.736272
2.532,0.057989,-0.027672,0.65966
2.536,0.077512,-0.001849,0.755404
2.54,0.10358,-0.00933,0.705073
2.544,0.075201,0.002342,0.728992
2.548,0.113151,0.01129,0.724125
2.552,-0.014106,-0.029024,0.717008
2.556,0.051275,-0.021832,0.750548
2.56,0.080266,0.00894,0.73135
2.564,0.059362,-0.012742,0.740922
2.568,0.11149,-0.01998,0.764861
2.572,0.06888,-0.048008,0.764948
2.576,0.099701,-0.002605,0.776906
2.58,0.094797,-0.002784,0.733775
2.584,0.052303,0.023016,0.707376
2.588,0.109334,-0.01271,0.697812
2.592,0.144282,-0.035978,0.685904
2.596,0.060893,-0.028306,0.714704
2.6,0.094197,-0.032482,0.688426
2.604,0.094173,-0.020192,0.726782
2.608,0.108145,-0.041108,0.73643
2.612,0.136031,-0.049932,0.714952
2.616,0.121019,-0.006771,0.693395
2.62,0.136792,-0.084253,0.693562
2.624,0.112423,-0.123107,0.660239
2.628,0.091024,-0.036498,0.72495
2.632,0.163863,-0.052875,0.703425
2.636,0.11085,-0.021906,0.756093
2.64,0.098802,-0.003281,0.729685
2.644,0.117256,-0.02742,0.693732
2.648,0.121423,0.000861,0.676907
2.652,0.144348,-0.027826,0.777493
2.656,0.120041,-0.004103,0.621787
2.66,0.088931,-0.009195,0.667259
2.664,0.114813,-0.023547,0.681626
2.668,0.093448,-0.096456,0.69136
2.672,0.067513,-0.045628,0.720166
2.676,0.105783,-0.021761,0.667466
2.68,0.09372,-0.033574,0.724963
2.684,0.07052,-0.075623,0.713118
2.688,0.087451,-0.036928,0.703582
2.692,0.075878,-0.024692,0.717986
2.696,0.08793,0.057668,0.739375
2.7,0.095083,-0.01407,0.736992
2.704,0.099886,-0.023539,0.669944
2.708,0.069042,-0.044599,0.710719
2.712,0.090521,-0.034816,0.720323
2.716,0.076388,-0.037152,0.763442
2.72,0.102605,-0.027304,0.605399
2.724,0.104809,-0.045842,0.641394
2.728,0.163203,-0.021875,0.674911
2.732,0.133692,-0.047834,0.684527
2.736,0.092957,-0.026385,0.689305
2.74,0.099953,-0.021665,0.694086
2.744,0.066937,-0.028829,0.672537
2.748,0.100425,-0.007774,0.741935
2.7520000000000002,0.133146,-0.005914,0.727496
2.7560000000000002,0.123058,-0.041657,0.682005
2.7600000000000002,0.099062,-0.032033,0.69159
2.7640000000000002,0.110718,-0.006407,0.720245
2.7680000000000002,0.089283,-0.025726,0.681908
2.7720000000000002,0.11528,-0.004825,0.717755
2.7760000000000002,0.098523,-0.015046,0.767977
2.7800000000000002,0.12198,-0.041408,0.674565
2.7840000000000003,0.135621,-0.022615,0.693676
2.7880000000000003,0.080982,-0.04923,0.734365
2.7920000000000003,0.104815,-0.063438,0.708037
2.7960000000000003,0.107087,0.002321,0.707888
2.8000000000000003,0.106952,-0.017737,0.762868
2.8040000000000003,0.048271,-0.018542,0.702913
2.8080000000000003,0.126859,-0.012334,0.714773
2.8120000000000003,0.114652,-0.031992,0.683578
2.816,0.090847,0.004991,0.661873
2.82,0.161644,-0.048152,0.690551
2.824,0.108902,-0.060334,0.728847
2.828,0.111202,-0.015698,0.735933
2.832,0.0853,-0.037976,0.728671
2.836,0.111539,-0.0576,0.762147
2.84,0.10914,-0.046616,0.75485
2.844,0.111522,-0.028711,0.728363
2.848,0.080954,-0.053608,0.742631
2.852,0.123739,-0.063719,0.692273
2.856,0.130409,-0.013089,0.790231
2.86,0.120553,0.016027,0.65109
2.864,0.113117,-0.016825,0.722745
2.868,0.157593,0.014995,0.617163
2.872,0.121218,-0.008092,0.746317
2.876,0.160638,-0.002067,0.746175
2.88,0.121849,-0.003076,0.645467
2.884,0.104846,0.024615,0.623793
2.888,0.12817,0.01886,0.64284
2.892,0.054783,-0.002925,0.621267
2.896,0.060202,0.039253,0.709784
2.9,0.067812,0.043219,0.616291
2.904,0.065977,0.014334,0.688131
2.908,0.08073,0.007257,0.690542
2.912,0.07156,0.002351,0.685742
2.916,0.071891,-0.002127,0.69536
2.92,0.044192,0.00047,0.683419
2.924,0.082666,-0.0204,0.714631
2.928,0.064015,0.01067,0.623618
2.932,0.081063,-0.076623,0.707594
2.936,0.118884,-0.033165,0.690863
2.94,0.038517,-0.051878,0.681343
2.944,0.065414,-0.02335,0.724437
2.948,0.072918,-0.037898,0.755555
2.952,0.24248,-0.04948,0.652584
2.956,0.258315,-0.163934,0.636133
2.96,-0.237019,0.01684,0.662417
