time,ax_lin,ay_lin,az_lin
13.559999,-11.850006,1.193756,11.697608
13.599999,-11.784741,21.662796,14.081409
13.639999,-7.039488,21.718393,13.914263
13.679999,-7.176407,21.771534,13.753198
13.719999,-11.868741,5.968084,-9.163586
13.759999,-12.123715,-15.381460,-2.521242
13.799999,-8.403890,-18.068235,-18.146168
13.840000,5.935178,-17.798306,-21.339510
13.880000,14.232427,-17.535660,-15.577883
13.920000,-3.437750,21.744677,13.613250
13.960000,-12.170091,11.423040,11.041423
14.000000,-12.179593,11.326190,10.998218
14.040000,-12.453449,17.543955,5.602038
14.080000,-12.155786,13.757108,13.597042
14.120000,-11.879021,13.608921,13.905403
14.160000,-12.062175,22.019207,13.843911
14.200000,-12.109969,21.946640,13.369984
14.240000,-12.157234,21.873150,13.281644
14.280000,-12.180110,-11.514001,13.650737
14.320000,0.400231,3.536066,8.525594
14.360000,-6.105419,-7.264894,7.381915
14.400000,-4.970325,-17.347589,4.871469
14.440000,-12.242756,-11.872438,-14.380478
14.480000,-12.245065,13.300121,9.673377
14.520000,-1.606841,9.577639,-6.170183
14.559999,10.774398,-17.557564,-12.459355
14.599999,-12.344069,4.566466,-5.417439
14.639999,-12.349748,21.489460,9.072748
14.679999,-6.648436,21.367685,13.213546
14.719999,-12.380445,4.669477,6.807734
14.759999,-12.041709,-18.252617,2.120664
14.799999,-10.469762,-13.726498,-25.626108
14.839999,-12.355385,11.610449,13.250429
14.880000,-12.491899,9.720059,8.352114
14.920000,-12.329272,21.345486,9.776286
14.960000,-6.430429,21.242668,13.650431
15.000000,-12.546458,17.812134,13.073290
15.040000,-6.925750,2.067016,-6.361079
15.080000,-12.362189,4.560818,-6.349756
15.120000,-12.322750,-5.517673,-0.827198
15.160000,-12.398704,16.748762,11.165078
15.200000,-8.087933,-0.220907,9.544911
15.240000,-12.174831,20.790174,13.515590
15.280000,-12.185030,4.064290,13.488902
15.320000,-11.974799,-17.750345,11.776251
15.360000,-12.016028,-17.797813,13.695270
15.400000,-12.133918,6.710481,8.693347
15.440000,-12.558949,21.587038,13.099735
15.480000,-13.004087,21.802973,12.713041
15.520000,-3.938825,18.516146,12.554081
15.559999,-8.726899,4.036872,7.725378
15.599999,-13.143263,21.547050,-7.112008
15.639999,-10.017514,21.751305,12.235113
15.679999,-13.613448,12.127481,12.181162
15.719999,-10.862905,16.596931,12.135441
15.759999,-10.871259,16.462568,12.093064
15.799999,-1.457575,-0.892642,12.228882
15.839999,-11.386290,22.000084,12.085662
15.880000,-13.770945,17.506596,12.164710
15.920000,-13.737422,17.660524,12.245564
15.960000,-13.440152,2.945039,-7.158295
16.000000,-13.599739,-16.393576,-26.508818
16.039999,-3.276422,22.519629,12.279763
16.080000,-11.352482,22.349413,11.676616
16.119999,-13.870234,22.329500,12.147343
